Month,Open,High,Low,Last,Change,Settle,Estimated Volume,Prior Day Open Interest,Trade Date,Settlement
MAY_20,,,,,0.01,58.02,0.0,4054.0,2019-03-05,Final
JUN_20,,,,,0.01,57.85,0.0,4003.0,2019-03-05,Final
JUL_20,,,,,0.02,57.67,0.0,4048.0,2019-03-05,Final
AUG_20,,,,,0.02,57.52,0.0,4046.0,2019-03-05,Final
SEP_20,,,,,0.01,57.37,0.0,4041.0,2019-03-05,Final
OCT_20,,,,,0.02,57.24,0.0,4460.0,2019-03-05,Final
NOV_20,,,,,0.02,57.11,0.0,4436.0,2019-03-05,Final
DEC_20,,,,,0.02,56.91,0.0,4506.0,2019-03-05,Final
JAN_21,,,,,0.02,56.72,0.0,916.0,2019-03-05,Final
FEB_21,,,,,0.02,56.59,0.0,915.0,2019-03-05,Final
MAR_21,,,,,0.02,56.43,0.0,914.0,2019-03-05,Final
APR_21,,,,,,56.29,0.0,689.0,2019-03-05,Final
MAY_21,,,,,,56.18,0.0,689.0,2019-03-05,Final
JUN_21,,,,,0.01,56.04,0.0,678.0,2019-03-05,Final
JUL_21,,,,,0.03,55.9,0.0,736.0,2019-03-05,Final
AUG_21,,,,,0.02,55.79,0.0,736.0,2019-03-05,Final
SEP_21,,,,,0.03,55.7,0.0,753.0,2019-03-05,Final
OCT_21,,,,,0.03,55.61,0.0,827.0,2019-03-05,Final
NOV_21,,,,,0.02,55.52,0.0,826.0,2019-03-05,Final
DEC_21,,,,,0.01,55.36,0.0,826.0,2019-03-05,Final
JAN_22,,,,,0.01,55.23,0.0,128.0,2019-03-05,Final
FEB_22,,,,,0.01,55.12,0.0,131.0,2019-03-05,Final
MAR_22,,,,,0.01,55.0,0.0,128.0,2019-03-05,Final
APR_22,,,,,0.01,54.92,0.0,129.0,2019-03-05,Final
MAY_22,,,,,0.01,54.85,0.0,127.0,2019-03-05,Final
JUN_22,,,,,,54.76,0.0,112.0,2019-03-05,Final
JUL_22,,,,,,54.69,0.0,111.0,2019-03-05,Final
AUG_22,,,,,,54.63,0.0,111.0,2019-03-05,Final
SEP_22,,,,,,54.58,0.0,112.0,2019-03-05,Final
OCT_22,,,,,,54.54,0.0,111.0,2019-03-05,Final
NOV_22,,,,,,54.49,0.0,112.0,2019-03-05,Final
DEC_22,,,,,,54.43,0.0,111.0,2019-03-05,Final
JAN_23,,,,,,54.39,0.0,83.0,2019-03-05,Final
FEB_23,,,,,,54.35,0.0,83.0,2019-03-05,Final
MAR_23,,,,,-0.01,54.31,0.0,83.0,2019-03-05,Final
APR_23,,,,,-0.01,54.29,0.0,83.0,2019-03-05,Final
